#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
100,-4498700.773973018,109.50060406257101,2612.6558782399056
200,-4368090.773973018,173.18534585069284,2612.6558782399056
300,-4278875.773973018,214.54237730740016,2612.6558782399056
400,-4213392.773973018,241.16751828682533,2612.6558782399056
500,-4165868.773973018,258.76898979204515,2612.6558782399056
600,-4132524.773973018,270.5626643915594,2612.6558782399056
700,-4107460.773973018,279.8156157330461,2612.6558782399056
800,-4086690.773973018,285.4313900578806,2612.6558782399056
900,-4072233.773973018,289.51537634199366,2612.6558782399056
1000,-4060658.773973018,292.0719053474739,2612.6558782399056
1100,-4051776.773973018,294.6941027132184,2612.6558782399056
1200,-4042880.773973018,295.3026063090812,2612.6558782399056
1300,-4038818.773973018,298.38603421998357,2612.6558782399056
1400,-4034466.773973018,297.95135698577667,2612.6558782399056
1500,-4031906.773973018,298.81421786061287,2612.6558782399056
1600,-4028712.773973018,298.49801140480383,2612.6558782399056
1700,-4027118.773973018,298.6577698283795,2612.6558782399056
1800,-4023800.773973018,299.28312456418314,2612.6558782399056
1900,-4023242.773973018,299.9765067050158,2612.6558782399056
2000,-4019700.773973018,299.48772106744536,2612.6558782399056
2100,-4017689.773973018,301.3176234486891,2612.6558782399056
2200,-4017484.773973018,300.8053887369237,2612.6558782399056
2300,-4019431.773973018,300.3185577950498,2612.6558782399056
2400,-4017438.773973018,300.40186006728334,2612.6558782399056
2500,-4017177.773973018,301.7006770729272,2612.6558782399056
2600,-4017498.773973018,301.59432441400014,2612.6558782399056
2700,-4013994.773973018,300.5840331555483,2612.6558782399056
2800,-4015782.773973018,301.741314893677,2612.6558782399056
2900,-4014376.773973018,302.32170308919643,2612.6558782399056
3000,-4013462.773973018,302.5731354226347,2612.6558782399056
3100,-4012717.773973018,301.1859720759537,2612.6558782399056
3200,-4014656.773973018,301.35509430253785,2612.6558782399056
3300,-4014996.773973018,301.11098187325194,2612.6558782399056
3400,-4014978.773973018,301.614424336909,2612.6558782399056
3500,-4015019.773973018,301.46709884172054,2612.6558782399056
3600,-4015478.773973018,300.9508430668225,2612.6558782399056
3700,-4018352.773973018,300.7868589006667,2612.6558782399056
3800,-4015738.773973018,300.0826848886909,2612.6558782399056
3900,-4017246.773973018,300.1875621650412,2612.6558782399056
4000,-4016738.773973018,300.20828452875253,2612.6558782399056
4100,-4016026.773973018,300.3301519077291,2612.6558782399056
4200,-4017406.773973018,300.7049362701098,2612.6558782399056
4300,-4019350.773973018,300.97690468635454,2612.6558782399056
4400,-4016196.773973018,300.90481839933864,2612.6558782399056
4500,-4013606.773973018,300.0266103391606,2612.6558782399056
4600,-4015361.773973018,302.1737141190638,2612.6558782399056
4700,-4014883.773973018,301.5615155818423,2612.6558782399056
4800,-4012493.773973018,299.7642545102878,2612.6558782399056
4900,-4013972.773973018,300.4311817243933,2612.6558782399056
5000,-4017376.773973018,301.726528307703,2612.6558782399056
5100,-4013302.773973018,301.42001951335095,2612.6558782399056
5200,-4012473.773973018,301.0222050201567,2612.6558782399056
5300,-4014784.773973018,300.5804953025788,2612.6558782399056
5400,-4016066.773973018,301.3617111779017,2612.6558782399056
5500,-4016425.773973018,301.65627172727056,2612.6558782399056
5600,-4014381.773973018,300.0393225616728,2612.6558782399056
5700,-4018918.773973018,301.9258913932574,2612.6558782399056
5800,-4016408.773973018,301.0347359577677,2612.6558782399056
5900,-4015577.773973018,300.61482399909124,2612.6558782399056
6000,-4014232.773973018,300.00304476074155,2612.6558782399056
