#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
100,-2860610.716180777,111.21667551107478,1658.2410720634712
200,-2779990.716180777,175.38173865245284,1658.2410720634712
300,-2724752.716180777,216.29596225713215,1658.2410720634712
400,-2684868.716180777,242.87598040250867,1658.2410720634712
500,-2657418.716180777,259.8884763237371,1658.2410720634712
600,-2633962.716180777,270.43827524409664,1658.2410720634712
700,-2620257.716180777,279.1682876641773,1658.2410720634712
800,-2606542.716180777,283.63509459069587,1658.2410720634712
900,-2600202.716180777,289.0916124043195,1658.2410720634712
1000,-2593171.716180777,292.0074781900387,1658.2410720634712
1100,-2586791.716180777,293.3253377081208,1658.2410720634712
1200,-2582612.716180777,295.88397977241897,1658.2410720634712
1300,-2577676.716180777,296.20289943920943,1658.2410720634712
1400,-2574870.716180777,297.52708342921875,1658.2410720634712
1500,-2571665.716180777,297.39972265464667,1658.2410720634712
1600,-2570250.716180777,298.18973813841353,1658.2410720634712
1700,-2567884.716180777,299.3357244756068,1658.2410720634712
1800,-2565126.716180777,299.2132376091971,1658.2410720634712
1900,-2565776.716180777,299.6428547289084,1658.2410720634712
2000,-2564803.716180777,299.940139239601,1658.2410720634712
2100,-2565278.716180777,299.72368388013246,1658.2410720634712
2200,-2563158.716180777,300.65052808240057,1658.2410720634712
2300,-2562896.716180777,301.09798010055783,1658.2410720634712
2400,-2560978.716180777,300.4720391250294,1658.2410720634712
2500,-2561328.716180777,301.5498910475778,1658.2410720634712
2600,-2559682.716180777,300.55409056227364,1658.2410720634712
2700,-2557996.716180777,301.5024484316709,1658.2410720634712
2800,-2558440.716180777,301.960485952454,1658.2410720634712
2900,-2560304.716180777,302.9312447102846,1658.2410720634712
3000,-2560610.716180777,303.3843995339922,1658.2410720634712
3100,-2558822.716180777,301.57009073011596,1658.2410720634712
3200,-2559086.716180777,302.4840385598867,1658.2410720634712
3300,-2558740.716180777,302.83823220388115,1658.2410720634712
3400,-2559980.716180777,303.69056054452705,1658.2410720634712
3500,-2559960.716180777,302.2607215559355,1658.2410720634712
3600,-2559878.716180777,301.12624818289055,1658.2410720634712
3700,-2559105.716180777,301.89369106871044,1658.2410720634712
3800,-2560394.716180777,301.2551387282553,1658.2410720634712
3900,-2560916.716180777,300.9918089534732,1658.2410720634712
4000,-2560314.716180777,298.7906678313133,1658.2410720634712
4100,-2564120.716180777,300.82920932526116,1658.2410720634712
4200,-2563092.716180777,300.1545415906601,1658.2410720634712
4300,-2562327.716180777,301.5037704455048,1658.2410720634712
4400,-2560475.716180777,300.62209864290554,1658.2410720634712
4500,-2560449.716180777,299.8851311306379,1658.2410720634712
4600,-2559354.716180777,300.9761353601406,1658.2410720634712
4700,-2558857.716180777,300.9478478815069,1658.2410720634712
4800,-2556790.716180777,300.5218125137344,1658.2410720634712
4900,-2555866.716180777,301.8076638857267,1658.2410720634712
5000,-2556622.716180777,301.6737746720562,1658.2410720634712
