#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
100,-3986216.1329965647,112.8694063474411,2310.44204857924
200,-3875156.1329965647,176.44236773175138,2310.44204857924
300,-3797793.1329965647,217.26291734309015,2310.44204857924
400,-3741513.1329965647,243.13995869652408,2310.44204857924
500,-3700642.1329965647,260.2352940668618,2310.44204857924
600,-3670946.1329965647,271.5647810740664,2310.44204857924
700,-3649012.1329965647,281.03645291774376,2310.44204857924
800,-3632323.1329965647,286.28819404616786,2310.44204857924
900,-3620986.1329965647,290.72670288968965,2310.44204857924
1000,-3607227.1329965647,291.11895655088534,2310.44204857924
1100,-3604921.1329965647,294.66888091697325,2310.44204857924
1200,-3596539.1329965647,295.392365569806,2310.44204857924
1300,-3590583.1329965647,296.88820534494465,2310.44204857924
1400,-3587675.1329965647,297.9929470397394,2310.44204857924
1500,-3582991.1329965647,297.3213014123175,2310.44204857924
1600,-3583357.1329965647,299.20075371894296,2310.44204857924
1700,-3579621.1329965647,298.98421859314686,2310.44204857924
1800,-3574999.1329965647,299.50685464821555,2310.44204857924
1900,-3575035.1329965647,300.69288116076984,2310.44204857924
2000,-3572892.1329965647,300.3226418496905,2310.44204857924
2100,-3573510.1329965647,300.6536260501717,2310.44204857924
2200,-3573093.1329965647,300.4809778163026,2310.44204857924
2300,-3573091.1329965647,299.8945755810285,2310.44204857924
2400,-3571380.1329965647,300.38726307338806,2310.44204857924
2500,-3571489.1329965647,300.89562797456443,2310.44204857924
2600,-3570746.1329965647,299.8560059292465,2310.44204857924
2700,-3570591.1329965647,299.31033862246863,2310.44204857924
2800,-3572183.1329965647,300.06683641191245,2310.44204857924
2900,-3571279.1329965647,300.25141229442,2310.44204857924
3000,-3570889.1329965647,300.34771013350445,2310.44204857924
3100,-3569609.1329965647,300.19449791133445,2310.44204857924
3200,-3568669.1329965647,300.0085990256774,2310.44204857924
3300,-3568288.1329965647,300.61418995562485,2310.44204857924
3400,-3568105.1329965647,300.1444751772538,2310.44204857924
3500,-3570697.1329965647,301.39431237999867,2310.44204857924
3600,-3570467.1329965647,300.81420081465615,2310.44204857924
3700,-3572219.1329965647,300.64904306804164,2310.44204857924
3800,-3570934.1329965647,300.01196708730055,2310.44204857924
3900,-3569622.1329965647,299.41085633390793,2310.44204857924
4000,-3571883.1329965647,301.00633417607145,2310.44204857924
4100,-3571429.1329965647,300.5607173339837,2310.44204857924
4200,-3570641.1329965647,300.8218592478132,2310.44204857924
4300,-3568357.1329965647,300.8606028438332,2310.44204857924
4400,-3566505.1329965647,299.63323375764253,2310.44204857924
4500,-3568751.1329965647,300.6889390548948,2310.44204857924
4600,-3567987.1329965647,300.8269550094547,2310.44204857924
4700,-3566931.1329965647,301.34462699645167,2310.44204857924
4800,-3568895.1329965647,301.5903448342291,2310.44204857924
4900,-3567495.1329965647,300.6862535614423,2310.44204857924
5000,-3567549.1329965647,300.1892618352037,2310.44204857924
