#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
100,-4220676.394872624,112.60473170026987,2444.4465449569316
200,-4102280.3948726244,175.88734999223593,2444.4465449569316
300,-4018216.3948726244,216.42680251218985,2444.4465449569316
400,-3960744.3948726244,243.03126471985055,2444.4465449569316
500,-3915819.3948726244,259.19969718649907,2444.4465449569316
600,-3885750.3948726244,271.6253134815943,2444.4465449569316
700,-3861072.3948726244,280.56470273189996,2444.4465449569316
800,-3844196.3948726244,285.95152790927443,2444.4465449569316
900,-3829115.3948726244,290.0108809584363,2444.4465449569316
1000,-3817764.3948726244,292.02685377085464,2444.4465449569316
1100,-3810490.3948726244,293.92481276960234,2444.4465449569316
1200,-3803938.3948726244,294.54024469364964,2444.4465449569316
1300,-3798040.3948726244,295.680399270326,2444.4465449569316
1400,-3792201.3948726244,296.0805531355986,2444.4465449569316
1500,-3788512.3948726244,297.48102666283626,2444.4465449569316
1600,-3786155.3948726244,298.90368570197825,2444.4465449569316
1700,-3783932.3948726244,299.42507189661654,2444.4465449569316
1800,-3780550.3948726244,299.40357593485373,2444.4465449569316
1900,-3781925.3948726244,300.27959888281134,2444.4465449569316
2000,-3778289.3948726244,298.73398756877083,2444.4465449569316
2100,-3779531.3948726244,299.5183158565287,2444.4465449569316
2200,-3778772.3948726244,299.9153225355481,2444.4465449569316
2300,-3779238.3948726244,300.98762992413907,2444.4465449569316
2400,-3776631.3948726244,299.6295841751423,2444.4465449569316
2500,-3778252.3948726244,301.6532388994822,2444.4465449569316
2600,-3773880.3948726244,301.0680506982878,2444.4465449569316
2700,-3776028.3948726244,300.03926633961277,2444.4465449569316
2800,-3776530.3948726244,300.60160659959024,2444.4465449569316
2900,-3775373.3948726244,299.73356119708075,2444.4465449569316
3000,-3773614.3948726244,300.3632484063599,2444.4465449569316
3100,-3772282.3948726244,299.80805342533256,2444.4465449569316
3200,-3774759.3948726244,301.09604884552635,2444.4465449569316
3300,-3775434.3948726244,300.82336442516686,2444.4465449569316
3400,-3774572.3948726244,300.20149979523376,2444.4465449569316
3500,-3773938.3948726244,300.0273598089434,2444.4465449569316
3600,-3773146.3948726244,299.5088594228893,2444.4465449569316
3700,-3773218.3948726244,300.73903012542104,2444.4465449569316
3800,-3774107.3948726244,301.4529790840556,2444.4465449569316
3900,-3772857.3948726244,301.0821631476313,2444.4465449569316
4000,-3775250.3948726244,301.80460384994956,2444.4465449569316
4100,-3773339.3948726244,300.8172283846075,2444.4465449569316
4200,-3776182.3948726244,301.82955320923804,2444.4465449569316
4300,-3775666.3948726244,301.94214642118726,2444.4465449569316
4400,-3773860.3948726244,300.33475321075855,2444.4465449569316
4500,-3773768.3948726244,300.86030119355536,2444.4465449569316
4600,-3773480.3948726244,300.71067558295056,2444.4465449569316
4700,-3773314.3948726244,301.25829680920407,2444.4465449569316
4800,-3772458.3948726244,300.1025189662679,2444.4465449569316
4900,-3772586.3948726244,300.4530690250565,2444.4465449569316
5000,-3774793.3948726244,301.06661217303247,2444.4465449569316
5100,-3777429.3948726244,300.388078631427,2444.4465449569316
